country,duration,tempo,chroma_mean,centroid_mean,rolloff_mean,zcr_mean,rhythm_strength,harmonic_percussive_ratio,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5
as.mp3,106.08326530612244,[47.8515625],0.37184235,2485.4769692820273,5122.451639958142,0.06275552209865397,0.8593169,3.967826,-169.96535,135.87602,-33.152916,28.399231,-11.710052
gq.mp3,115.30448979591837,[84.72079918],0.37195033,1772.604754133968,3387.6918858786626,0.040736529887610756,0.84381557,3.894176,-196.18416,182.47891,-26.31275,27.10969,-0.4143474
ad.mp3,156.96979591836734,[99.38401442],0.30217382,1670.7949336218878,3054.0901436307413,0.054749397349493384,0.7787952,6.3485794,-271.76636,176.06476,-31.660181,8.793731,-9.32436
ae.mp3,48.457142857142856,[120.18531977],0.31412652,1571.8204418945736,2910.913495373143,0.04753126684535218,1.009694,3.1932368,-234.22481,196.0921,-36.082355,22.904593,-3.987522
cf.mp3,57.6,[82.03125],0.41676447,1629.7787327182482,3102.4737024826177,0.04547726786074164,0.88000077,3.018296,-288.49872,187.87761,-35.40747,17.05966,4.9161377
ba.mp3,125.02204081632654,[143.5546875],0.38727316,1248.3237335476085,2273.3255793539324,0.03630783020127217,0.59173614,4.153821,-301.5724,173.26387,4.118566,-2.3331285,4.051455
jp.mp3,58.69714285714286,[107.66601562],0.3031694,1122.929301628179,1944.4320582136322,0.033193370963953715,0.726072,5.9352226,-294.97467,209.67633,-8.177909,15.50303,2.6189818
bs.mp3,74.84081632653061,[109.95678191],0.37388772,2410.667506220238,4967.566673452769,0.06132462591612378,0.92779285,2.9975235,-219.37866,167.5186,-43.90222,37.01488,-20.476532
eg.mp3,85.81224489795919,[73.828125],0.33063528,1691.6048127875938,3330.4017500443892,0.03942329439765963,0.8933203,2.9610345,-237.22787,183.04012,-21.8565,27.481922,-9.205055
eu.mp3,60.969795918367346,[126.04801829],0.37273312,1794.8852473671682,3651.4769299195545,0.040730670310119954,0.8682645,3.0826945,-197.45299,178.41246,-33.495686,30.211462,-2.706273
kw.mp3,34.63836734693878,[109.95678191],0.35207123,2036.6237088314317,3921.5830785020107,0.05582802289292895,0.99231744,2.5516906,-246.37994,180.39598,-53.42662,24.721106,-5.3903894
be.mp3,63.0595918367347,[103.359375],0.34969375,1997.3344406331053,3851.069877073937,0.052474773333946984,0.8817874,3.3596036,-249.42654,169.03346,-36.043648,22.481606,-13.939925
ma.mp3,67.73551020408163,[135.99917763],0.36486402,1188.3377039655243,2241.2687781169666,0.03457692333440446,0.7485068,3.5998027,-342.29675,189.73694,-26.371084,4.476762,13.678331
km.mp3,96.70530612244897,[103.359375],0.39939576,1449.7119221937542,2733.7965303308824,0.03984005711659664,0.9473183,2.628619,-191.22871,204.8304,-40.46735,26.49831,0.58801347
im.mp3,52.688979591836734,[60.09265988],0.32966894,1557.6648857289745,2799.662721259501,0.052911657991848424,0.7359699,7.6466722,-281.43997,175.49596,-43.377094,14.516168,-9.502475
ee.mp3,31.764897959183674,[72.78829225],0.33266482,1482.4385111693387,2684.5696880994246,0.041469296618103765,0.88725555,3.6477149,-241.41017,197.79547,-37.85581,15.113399,-2.9529872
ao.mp3,81.92,[95.703125],0.35413867,1764.343289610763,3610.7553614761937,0.03678154779828539,0.9680087,3.2886195,-209.52238,184.0806,-32.217426,44.761284,-10.402921
bi.mp3,128.94040816326532,[139.67483108],0.31616545,1750.2783821546846,3143.211760812438,0.05762479285304312,0.7955179,6.526189,-280.7743,161.78487,-50.38083,3.6315906,-18.297115
bl.mp3,56.12498866213152,[79.50721154],0.35683286,2749.6530691214393,5141.166926544726,0.07839383240692864,0.9238769,3.873893,-117.22228,137.49911,-75.03591,26.460829,-28.50526
jm.mp3,84.68897959183674,[117.45383523],0.38399142,1746.7137020939695,3482.614088470271,0.04502682702193283,0.7402797,3.4291818,-344.70328,171.13632,-25.609034,21.259756,-3.335559
fr.mp3,79.28163265306122,[117.45383523],0.32831022,2432.5926145323006,5121.399138497126,0.06052127759371797,0.9871275,2.6250608,-214.27602,166.03014,-40.028286,45.329403,-22.10268
ax.mp3,71.52326530612245,[73.828125],0.30912286,1001.5616289420968,1616.3498214575557,0.036444833808432074,0.63118184,6.7911115,-385.28894,198.57928,-4.300489,-19.122534,-0.5978197
gi.mp3,151.77142857142857,[68.90625],0.362009,1382.6241508379198,2474.882043829601,0.04493703924596497,0.7493595,5.3335447,-299.91013,202.64136,-36.934135,7.890608,2.470336
in.mp3,63.6865306122449,[54.39967105],0.35486978,1502.486400239533,2914.820884623929,0.0387267732637623,0.773632,3.7299168,-294.1157,199.51167,-22.196665,21.423384,-11.942916
gl.mp3,49.24081632653061,[105.46875],0.30051896,1057.503865541471,1839.4898669554455,0.03470146470562235,0.6198255,5.9902153,-379.50388,164.95168,-25.96437,5.8078313,1.8077084
fi.mp3,46.419591836734696,[80.74951172],0.3436939,1451.3268321641065,2708.245872503282,0.039797302841335334,0.8714951,3.565521,-227.93945,196.72728,-27.063692,19.576624,0.3069916
by.mp3,115.64408163265306,[89.10290948],0.3650696,2456.029302435599,5047.790518765372,0.05957835166524445,0.973496,2.877261,-146.89871,169.31667,-50.484577,37.003174,-32.15716
au.mp3,54.3869387755102,[101.33272059],0.33071464,1257.729597559896,2290.424997498666,0.03916745180763074,0.7886288,4.296983,-261.41904,214.21535,-28.304716,13.885209,7.5851803
bg.mp3,73.40408163265306,[63.02400915],0.35464478,1486.2938327856666,2808.664602134568,0.04372043902222047,0.8126559,3.4858024,-259.5725,204.74976,-22.66822,7.008511,-2.9014366
bn.mp3,64.86204081632653,[83.35433468],0.35221815,2518.9473289210373,5073.5726141601035,0.07270880993265616,0.880683,2.7769866,-213.71089,172.80527,-46.509483,45.774605,-23.130339
jo.mp3,37.35510204081633,[139.67483108],0.41530257,2156.2691970878914,4354.544975892441,0.056043550196162216,0.842469,3.0245557,-216.20378,174.10645,-39.824642,35.23333,-11.851504
